Title,Place of Origin,Date Created,Subject - Topic,Subject - Geographic,Subject - Name [corporate],Abstract (Description),Note [content] (Note),Contributing Repository
Woman in front of Garig Hall entrance,Baton Rouge (La.),Circa 1912,Women college students--Louisiana--Baton Rouge--Photographs; Auditoriums--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"William Garig Hall (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photograph of young woman in front of entrance to Garig Hall at LSU, circa 1912.",,LSU Libraries. Special Collections
Pentagon Barracks,Baton Rouge (La.),Circa 1912,Dormitories--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Pentagon Barracks (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photographic postcard of Pentagon Barracks at LSU, circa 1912, with sketch of the pentagon on back.",,LSU Libraries. Special Collections
Young man and cadet in front of Pentagon Barracks,Baton Rouge (La.),Circa 1912,College students--Louisiana--Baton Rouge--Photographs; Military cadets--Louisiana--Baton Rouge--Photographs; Dormitories--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Pentagon Barracks (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photographic postcard of one young man and one cadet in front of the Pentagon Barracks at LSU, circa 1912. ""LSU Sayes"" is handwritten on the back of the postcard.",,LSU Libraries. Special Collections
Three young men in front of Pentagon Barracks,Baton Rouge (La.),Circa 1912,College students--Louisiana--Baton Rouge--Photographs; Military cadets--Louisiana--Baton Rouge--Photographs; Dormitories--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Pentagon Barracks (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photograph of two young men and one cadet in front of two Pentagon Barracks buildings. The middle person is identified in handwriting as ""Floyd Spencer.""",,LSU Libraries. Special Collections
"Livestock show, LSU, 1915",Baton Rouge (La.),1915,College students--Louisiana--Baton Rouge--Photographs; Livestock exhibitions--Louisiana--Baton Rouge--Photographs; Livestock--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Pentagon Barracks (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs",Black and white photograph of horses and cows being exhibited in a field near the Pentagon Barracks.,,LSU Libraries. Special Collections
"Capital City Auto Co. Distributors ""Best by Test""",Baton Rouge (La.),Circa 1915,Automobiles--Louisiana--Baton Rouge--Marketing--Photographs; Automobile industry and trade--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Capital City Auto Company Distributors (Baton Rouge, La.)--Photographs","Black and white photographic postcard of Capital City Auto Co. Distributors car show featuring Ford, Hupmobile and Hudson Light Six automobiles, Baton Rouge, circa 1915.",,LSU Libraries. Special Collections
Garig Hall 1914,Baton Rouge (La.),1914,Military cadets--Louisiana--Baton Rouge--Photographs; Auditoriums--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"William Garig Hall (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photograph of a large group of people standing outside the entrance of Garig Hall at LSU, 1914.",,LSU Libraries. Special Collections
"Livestock show, LSU, circa 1915",Baton Rouge (La.),Circa 1915,Livestock exhibitions--Louisiana--Baton Rouge--Photographs; Cattle--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Louisiana State University and Agricultural and Mechanical College--Photographs,"Black and white photograph of cattle show at LSU, circa 1915",,LSU Libraries. Special Collections
Two women in front of brick building,Baton Rouge (La.),Circa 1915,Women college students--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Louisiana State University and Agricultural and Mechanical College--Students--Photographs,"Black and white photograph of two women students in front of a brick building, circa 1915.",,LSU Libraries. Special Collections
Three people in front of the Colony dorm,Baton Rouge (La.),Circa 1915,Women college students--Louisiana--Baton Rouge--Photographs; Dormitories--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs; Colony (Baton Rouge, La.)--Photographs","Black and white photograph of three people walking down a path, LSU, circa 1915. The Colony dormitory is in the background.",,LSU Libraries. Special Collections
Two women on entrance steps of Foster Hall,Baton Rouge (La.),Circa 1915,Dormitories--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Murphy J. Foster Hall (Baton Rouge, La. : 1901-1923)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photograph of two women on the steps of Foster Hall Dormitory, LSU, circa 1915.",,LSU Libraries. Special Collections
Two men walking toward Garig Hall,Baton Rouge (La.),Circa 1915,Auditoriums--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"William Garig Hall (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photograph of two men walking toward Garig Hall, LSU, circa 1915",,LSU Libraries. Special Collections
Group of students on balcony of Pentagon Barracks,Baton Rouge (La.),1914,Dormitories--Louisiana--Baton Rouge--Photographs; College students--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Pentagon Barracks (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photoraph of a group of students sitting outside on the second story balcony of one of the Pentagon Barracks buildings, LSU, 1914.",,LSU Libraries. Special Collections
Four women walking near Pentagon Barracks,Baton Rouge (La.),Circa 1915,Dormitories--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Pentagon Barracks (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photograph of 4 women walking on the interior side of the Pentagon Barracks, LSU, circa 1915.",,LSU Libraries. Special Collections
"Indian Mound, LSU",Baton Rouge (La.),Circa 1915,Mounds--Louisiana--Baton Rouge--Photographs; Indians of North America--Louisiana--Baton Rouge--Antiquities--Photographs,"Indian Mounds (Baton Rouge, La.)","Indian Mounds (Baton Rouge, La.)--Photographs","Black and white photograph of one of the Indian Mounds at LSU, circa 1915.",,LSU Libraries. Special Collections
Cadet standing on steps in front of the Colony Dormitory,Baton Rouge (La.),Circa 1915,Dormitories--Louisiana--Baton Rouge--Photographs; Military cadets--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs; Colony (Baton Rouge, La.)--Photographs","Black and white photograph of a cadet standing on the steps to the Colony dormitory at LSU, circa 1915.",,LSU Libraries. Special Collections
Military cadets marching in street,Baton Rouge (La.),Circa 1915,Military cadets--Louisiana--Baton Rouge--Photographs; Military parades--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Louisiana State University and Agricultural and Mechanical College--Students--Photographs,Black and white photograph of cadets parading single file down a street while people watch. A large Cremo Cigar advertisement is in the background of the photo.,,LSU Libraries. Special Collections
LSU campus gathering,Baton Rouge (La.),Circa 1915,Military cadets--Louisiana--Baton Rouge--Photographs; College students--Louisiana--Baton Rouge--Photographs; Megaphones--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Louisiana State University and Agricultural and Mechanical College--Students--Photographs,Black and white photograph of a large gathering of people at LSU. One person in the middle is standing on a riser and speaking through a megaphone.,,LSU Libraries. Special Collections
LSU track and field athletics,Baton Rouge (La.),Circa 1915,Track and field--Louisiana--Baton Rouge--Photographs; Jumping--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Louisiana State University and Agricultural and Mechanical College--Track and field--Photographs,Black and white photograph of a track athlete jumping while a cadet and coach hold a rope. Other athletes are in the background.,,LSU Libraries. Special Collections
Pole vaulting at LSU,Baton Rouge (La.),Circa 1915,Track and field--Louisiana--Baton Rouge--Photographs; Vaulting--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Louisiana State University and Agricultural and Mechanical College--Track and field--Photographs,"Black and white photograph of a track athlete pole vaulting at LSU, circa 1915.",,LSU Libraries. Special Collections
Pole vaulting at LSU,Baton Rouge (La.),Circa 1915,Track and field--Louisiana--Baton Rouge--Photographs; Vaulting--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Louisiana State University and Agricultural and Mechanical College--Track and field--Photographs,"Black and white photograph of a track athlete pole vaulting at LSU, circa 1915.",,LSU Libraries. Special Collections
High jump at LSU,Baton Rouge (La.),Circa 1915,Track and field--Louisiana--Baton Rouge--Photographs; Jumping--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Louisiana State University and Agricultural and Mechanical College--Track and field--Photographs,"Black and white photograph of a track athlete performing the high jump at LSU, circa 1915.",,LSU Libraries. Special Collections
LSU track and field athletics,Baton Rouge (La.),Circa 1915,Track and field--Louisiana--Baton Rouge--Photographs; Running--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Alfred B. Irion Hall (Baton Rouge, La.)--Photographs; William W. Heard Hall (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs; Louisiana State University and Agricultural and Mechanical College--Track and field--Photographs","Black and white photograph of athletes running track at LSU, circa 1915. In the background are the buildings Irion Hall on left and Heard Hall on right.",,LSU Libraries. Special Collections
LSU football game,Baton Rouge (La.),Circa 1915,Football players--Louisiana--Baton Rouge--Photographs; Football stadiums--Louisiana--Baton Rouge--Photographs; Football--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Tiger Stadium (Baton Rouge, La.)--Photographs; LSU Tigers (Football team)--Photographs; Louisiana State University and Agricultural and Mechanical College--Football--Photographs","Black and white photograph of an LSU Tigers football game, circa 1915.",,LSU Libraries. Special Collections
LSU football game,Baton Rouge (La.),Circa 1915,Football players--Louisiana--Baton Rouge--Photographs; Football stadiums--Louisiana--Baton Rouge--Photographs; Football--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Tiger Stadium (Baton Rouge, La.)--Photographs; LSU Tigers (Football team)--Photographs; Louisiana State University and Agricultural and Mechanical College--Football--Photographs","Black and white photograph of an LSU Tigers football game, circa 1915.",,LSU Libraries. Special Collections
LSU football game,Baton Rouge (La.),Circa 1915,Football players--Louisiana--Baton Rouge--Photographs; Football stadiums--Louisiana--Baton Rouge--Photographs; Football--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Tiger Stadium (Baton Rouge, La.)--Photographs; LSU Tigers (Football team)--Photographs; Louisiana State University and Agricultural and Mechanical College--Football--Photographs","Black and white photograph of an LSU Tigers football game, circa 1915.",,LSU Libraries. Special Collections
LSU football game,Baton Rouge (La.),Circa 1915,Football players--Louisiana--Baton Rouge--Photographs; Football stadiums--Louisiana--Baton Rouge--Photographs; Football--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Tiger Stadium (Baton Rouge, La.)--Photographs; LSU Tigers (Football team)--Photographs; Louisiana State University and Agricultural and Mechanical College--Football--Photographs","Black and white photograph of an LSU Tigers football game, circa 1915.",,LSU Libraries. Special Collections
LSU football game,Baton Rouge (La.),Circa 1940,Football stadiums--Louisiana--Baton Rouge--Photographs; Football fans--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Tiger Stadium (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Football--Photographs","Black and white photograph of football fans in Tiger Stadium watching the LSU Tigers play, circa 1915.",,LSU Libraries. Special Collections
LSU football game,Baton Rouge (La.),Circa 1915,Football players--Louisiana--Baton Rouge--Photographs; Football stadiums--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Tiger Stadium (Baton Rouge, La.)--Photographs; LSU Tigers (Football team)--Photographs; Louisiana State University and Agricultural and Mechanical College--Football--Photographs","Black and white photograph of an LSU Tigers football game taken near the goal posts, circa 1915.",,LSU Libraries. Special Collections
Ducks on water,Baton Rouge (La.),Circa 1915,Ducks--Louisiana--Baton Rouge--Photographs; Lakes--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),,"Black and white photograph of ducks swimming in a lake, circa 1915.",,LSU Libraries. Special Collections
"Heard Hall, LSU",Baton Rouge (La.),Circa 1915,Physical laboratories--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"William W. Heard Hall (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photograph of Heard Hall, the Physics Laboratory at LSU, circa 1915.",,LSU Libraries. Special Collections
Greek Theater at LSU,Baton Rouge (La.),Circa 1915,Amphitheaters--Louisiana--Baton Rouge--Photographs,,"Greek Theatre (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs","Black and white photograph of the LSU Greek Theater, circa 1915.",,LSU Libraries. Special Collections
